rank,batch,fr_infinitive,es_infinitive,link_order,legacy_ids,source_es_text,en_infinitive,ru_infinitive
201,5,abandonner,abandonar,1,203,abandonar,abandon,бросать
202,5,protéger,proteger,1,204,proteger,protect,защищать
203,5,noter,anotar,1,205,"anotar, notar",note,отмечать
203,5,noter,notar,2,205,"anotar, notar",note,отмечать
204,5,remplir,llenar,1,206,"llenar, cumplir",fill,заполнять
204,5,remplir,cumplir,2,206,"llenar, cumplir",fill,заполнять
205,5,fermer,cerrar,1,207,cerrar,close,закрывать
206,5,dégager,liberar,1,208,"liberar, despejar",clear,освобождать
206,5,dégager,despejar,2,208,"liberar, despejar",clear,освобождать
207,5,ramener,traer de vuelta,1,209,"traer de vuelta, devolver",bring back,возвращать обратно
207,5,ramener,devolver,2,209,"traer de vuelta, devolver",bring back,возвращать обратно
208,5,poursuivre,perseguir,1,210,"perseguir, continuar",pursue,преследовать
208,5,poursuivre,continuar,2,210,"perseguir, continuar",pursue,преследовать
209,5,couper,cortar,1,211,cortar,cut,резать
210,5,embrasser,abrazar,1,212,"abrazar, besar",kiss,целовать
210,5,embrasser,besar,2,212,"abrazar, besar",kiss,целовать
211,5,décrire,describir,1,213,describir,describe,описывать
212,5,répéter,repetir,1,214,repetir,repeat,повторять
213,5,organiser,organizar,1,215,organizar,organize,организовывать
214,5,vérifier,verificar,1,216,"verificar, comprobar",check,проверять
214,5,vérifier,comprobar,2,216,"verificar, comprobar",check,проверять
215,5,danser,bailar,1,217,bailar,dance,танцевать
216,5,espérer,esperar,1,218,esperar,hope,надеяться
217,5,frapper,golpear,1,219,"golpear, pegar",hit,ударять
217,5,frapper,pegar,2,219,"golpear, pegar",hit,ударять
218,5,accomplir,cumplir,1,220,"cumplir, realizar",accomplish,выполнять
218,5,accomplir,realizar,2,220,"cumplir, realizar",accomplish,выполнять
219,5,exister,existir,1,221,existir,exist,существовать
220,5,avouer,confesar,1,222,"confesar, admitir",confess,признаваться
220,5,avouer,admitir,2,222,"confesar, admitir",confess,признаваться
221,5,couler,fluir,1,223,fluir,flow,протекать
222,5,élever,elevar,1,224,"elevar, criar",raise,поднимать
222,5,élever,criar,2,224,"elevar, criar",raise,поднимать
223,5,parvenir,lograr,1,225,"lograr, alcanzar",manage to,справляться
223,5,parvenir,alcanzar,2,225,"lograr, alcanzar",manage to,справляться
224,5,arracher,arrancar,1,226,arrancar,tear out,вырывать
225,5,citer,citar,1,227,citar,cite,цитировать
226,5,provoquer,provocar,1,228,provocar,provoke,провоцировать
227,5,renoncer,renunciar,1,229,renunciar,give up,отказываться
228,5,approcher,acercar,1,230,"acercar, aproximar",approach,приближаться
228,5,approcher,aproximar,2,230,"acercar, aproximar",approach,приближаться
229,5,lancer,lanzar,1,231,lanzar,launch,запускать
230,5,séparer,separar,1,232,separar,separate,разделять
231,5,transformer,transformar,1,233,transformar,transform,преобразовывать
232,5,se couler,hundirse,1,234,hundirse,sink,погружаться
233,5,examiner,examinar,1,235,examinar,examine,осматривать
234,5,justifier,justificar,1,236,justificar,justify,оправдывать
235,5,installer,instalar,1,237,instalar,install,устанавливать
236,5,respirer,respirar,1,238,respirar,breathe,дышать
237,5,rêver,soñar,1,239,soñar,dream,мечтать
238,5,prévenir,prevenir,1,240,"prevenir, avisar",warn,предупреждать
238,5,prévenir,avisar,2,240,"prevenir, avisar",warn,предупреждать
239,5,taire,callar,1,241,callar,silence,замалчивать
240,5,relever,levantar,1,242,"levantar, relevar",lift up,поднимать вверх
240,5,relever,relevar,2,242,"levantar, relevar",lift up,поднимать вверх
241,5,plancher,trabajar duro,1,243,trabajar duro,work hard,стараться
242,5,livrer,entregar,1,244,entregar,deliver,доставлять
243,5,pénétrer,penetrar,1,245,penetrar,penetrate,проникать
244,5,détruire,destruir,1,246,destruir,destroy,разрушать
245,5,rouler,rodar,1,247,"rodar, conducir",roll,катать
245,5,rouler,conducir,2,247,"rodar, conducir",roll,катать
246,5,discuter,discutir,1,248,discutir,discuss,обсуждать
247,5,modifier,modificar,1,249,modificar,modify,изменять
248,5,participer,participar,1,250,participar,participate,участвовать
249,5,régler,resolver,1,251,"resolver, ajustar",adjust,регулировать
249,5,régler,ajustar,2,251,"resolver, ajustar",adjust,регулировать
250,5,engager,comprometer,1,252,"comprometer, contratar",hire,нанимать
250,5,engager,contratar,2,252,"comprometer, contratar",hire,нанимать
